代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
000923.SZ,河钢资源,2010-03-29,11.17,11.52,2300760000.0,黑色金属矿采选业,0.10117595160899334
600532.SH,未来股份,2010-03-29,9.92,9.72,1498185000.0,黑色金属矿采选业,0.06588270530664636
000655.SZ,金岭矿业,2010-03-30,20.69,20.34,12520005037.0,黑色金属矿采选业,0.5544472124710955
000762.SZ,西藏矿业,2010-03-30,14.97,15.18,6316315638.0,黑色金属矿采选业,0.27971742728754057
000923.SZ,河钢资源,2010-03-30,11.53,11.3,2257200000.0,黑色金属矿采选业,0.09995988374535322
600532.SH,未来股份,2010-03-30,9.72,9.65,1487538000.0,黑色金属矿采选业,0.06587547649601065
000655.SZ,金岭矿业,2010-03-31,20.29,19.56,12037779451.0,黑色金属矿采选业,0.546962119003378
000762.SZ,西藏矿业,2010-03-31,15.15,14.9,6197764100.0,黑色金属矿采选业,0.2816085972515019
000923.SZ,河钢资源,2010-03-31,11.31,11.35,2267100000.0,黑色金属矿采选业,0.10301051161803333
600532.SH,未来股份,2010-03-31,9.7,9.77,1505790000.0,黑色金属矿采选业,0.06841877212708676
000655.SZ,金岭矿业,2010-04-01,19.54,19.77,12168754301.0,黑色金属矿采选业,0.5431495873285624
000762.SZ,西藏矿业,2010-04-01,14.91,15.2,6324586675.0,黑色金属矿采选业,0.28229649129062273
000923.SZ,河钢资源,2010-04-01,11.34,12.0,2395800000.0,黑色金属矿采选业,0.10693598943113132
600532.SH,未来股份,2010-04-01,9.84,9.83,1514916000.0,黑色金属矿采选业,0.0676179319496835
000655.SZ,金岭矿业,2010-04-02,19.85,19.85,12216381520.0,黑色金属矿采选业,0.5435809355886366
000762.SZ,西藏矿业,2010-04-02,15.2,15.2,6324586675.0,黑色金属矿采选业,0.28141923501484783
000923.SZ,河钢资源,2010-04-02,11.92,12.02,2399760000.0,黑色金属矿采选业,0.10677988272162169
600532.SH,未来股份,2010-04-02,9.84,9.95,1533168000.0,黑色金属矿采选业,0.06821994667489385
000655.SZ,金岭矿业,2010-04-06,19.98,20.65,12710513910.0,黑色金属矿采选业,0.5481990513998666
000762.SZ,西藏矿业,2010-04-06,15.43,15.72,6539633650.0,黑色金属矿采选业,0.282051614027355
000923.SZ,河钢资源,2010-04-06,12.0,11.95,2385900000.0,黑色金属矿采选业,0.10290285082068265
600532.SH,未来股份,2010-04-06,9.97,10.06,1549899000.0,黑色金属矿采选业,0.06684648375209573
000655.SZ,金岭矿业,2010-04-07,20.89,21.2,13049857842.0,黑色金属矿采选业,0.5545027845895866
000762.SZ,西藏矿业,2010-04-07,15.71,15.68,6520334562.0,黑色金属矿采选业,0.27705617293763635
000923.SZ,河钢资源,2010-04-07,11.93,12.17,2429460000.0,黑色金属矿采选业,0.10323042222830499
600532.SH,未来股份,2010-04-07,10.08,9.96,1534689000.0,黑色金属矿采选业,0.06521062024447209
000655.SZ,金岭矿业,2010-04-08,21.3,21.22,13061764646.0,黑色金属矿采选业,0.5566519696125124
000762.SZ,西藏矿业,2010-04-08,15.84,15.77,6558932738.0,黑色金属矿采选业,0.27952140664866243
