代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
600256.SH,广汇能源,2010-02-25,4.69,4.67,27341553519.0,石油和天然气开采业,0.00799705255305644
600759.SH,洲际油气,2010-02-25,5.43,6.03,9892337806.0,石油和天然气开采业,0.0028933815063652032
600777.SH,新潮能源,2010-02-25,1.68,1.72,4090268245.0,石油和天然气开采业,0.0011963508250777436
601857.SH,中国石油,2010-02-25,9.7,9.77,2388423760525.0,石油和天然气开采业,0.6985832139572477
000968.SZ,蓝焰控股,2010-02-26,17.88,17.73,9350195400.0,石油和天然气开采业,0.002741368046009176
600028.SH,中国石化,2010-02-26,5.14,5.16,978870536310.0,石油和天然气开采业,0.2869934043752817
600256.SH,广汇能源,2010-02-26,4.66,4.97,29103988153.0,石油和天然气开采业,0.008532949282970473
600759.SH,洲际油气,2010-02-26,6.2,6.12,10051891642.0,石油和天然气开采业,0.002947097185725713
600777.SH,新潮能源,2010-02-26,1.71,1.73,4127793641.0,石油和天然气开采业,0.0012102208674652161
601857.SH,中国石油,2010-02-26,9.75,9.73,2379272711634.0,石油和天然气开采业,0.6975749602425477
000968.SZ,蓝焰控股,2010-03-01,17.82,18.15,9571106610.0,石油和天然气开采业,0.00278895567845224
600028.SH,中国石化,2010-03-01,5.16,5.21,988407804600.0,石油和天然气开采业,0.2880153436370178
600256.SH,广汇能源,2010-03-01,4.97,4.97,29103988153.0,石油和天然气开采业,0.008480705140209079
600759.SH,洲际油气,2010-03-01,6.01,6.25,10267758596.0,石油和天然气开采业,0.0029919553514712134
600777.SH,新潮能源,2010-03-01,1.73,1.76,4184081737.0,石油和天然气开采业,0.0012192130957273356
601857.SH,中国石油,2010-03-01,9.73,9.78,2390253970303.0,石油和天然气开采业,0.6965038270971223
000968.SZ,蓝焰控股,2010-03-02,18.12,17.83,9401570100.0,石油和天然气开采业,0.0027648915339760385
600028.SH,中国石化,2010-03-02,5.22,5.16,978003511920.0,石油和天然气开采业,0.2876193658659676
600256.SH,广汇能源,2010-03-02,5.0,4.92,28789607921.0,石油和天然气开采业,0.008466686134400296
600759.SH,洲际油气,2010-03-02,6.17,5.97,9807868128.0,石油和天然气开采业,0.0028843790202086154
600777.SH,新潮能源,2010-03-02,1.76,1.77,4215352900.0,石油和天然气开采业,0.0012396858633146118
601857.SH,中国石油,2010-03-02,9.78,9.7,2370121662743.0,石油和天然气开采业,0.6970249915821328
000968.SZ,蓝焰控股,2010-03-03,17.83,18.12,9555694200.0,石油和天然气开采业,0.002801253165979942
600028.SH,中国石化,2010-03-03,5.16,5.18,981472614402.0,石油和天然气开采业,0.2877188418625005
600256.SH,广汇能源,2010-03-03,4.96,4.92,28799134595.0,石油和天然气开采业,0.008442470559776413
600759.SH,洲际油气,2010-03-03,5.88,5.92,9723398451.0,石油和天然气开采业,0.002850415691928297
600777.SH,新潮能源,2010-03-03,1.77,1.77,4227861366.0,石油和天然气开采业,0.0012393981838422353
601857.SH,中国石油,2010-03-03,9.7,9.73,2377442501856.0,石油和天然气开采业,0.6969476205359726
000968.SZ,蓝焰控股,2010-03-04,18.17,17.55,9257720940.0,石油和天然气开采业,0.0027655084628086728
600028.SH,中国石化,2010-03-04,5.17,5.05,958062931903.0,石油和天然气开采业,0.2861969120967083
600256.SH,广汇能源,2010-03-04,4.97,4.75,27789307183.0,石油和天然气开采业,0.00830134810589531
600759.SH,洲际油气,2010-03-04,5.92,5.55,9113339668.0,石油和天然气开采业,0.0027223782332224827
600777.SH,新潮能源,2010-03-04,1.85,1.82,4334183323.0,石油和天然气开采业,0.0012947269351500583
601857.SH,中国石油,2010-03-04,9.73,9.57,2339008096514.0,石油和天然气开采业,0.6987191261662151
000968.SZ,蓝焰控股,2010-03-05,17.58,17.44,9196071300.0,石油和天然气开采业,0.0027444626005584893
600028.SH,中国石化,2010-03-05,5.06,5.05,957195906625.0,石油和天然气开采业,0.28566420174884777
600256.SH,广汇能源,2010-03-05,4.8,4.83,28227534173.0,石油和天然气开采业,0.008424185645862186
600759.SH,洲际油气,2010-03-05,5.57,5.51,9038255510.0,石油和天然气开采业,0.0026973642778831755
600777.SH,新潮能源,2010-03-05,1.84,1.87,4446759514.0,石油和天然气开采业,0.0013270846627570889
